id,name
1,Женское здоровье
2,Витамины и мультивитамины 
3,Для мозга
4,Молодость и здоровая кожа
5,Для иммунитета
6,Для полости рта
7,Косметика 
8,Снижение сахара
9,Лифтинг
10,Отбеливание
11,Для почек
12,Повышение гемоглобина 
13,Уход за глазами
14,От комаров 
15,Для суставов
16,Пробиотики
17,От нервов
18,Для роста волос
19,От давления
20,От простуды
21,Одежда
22,Уход за волосами
23,Бытовая химия 
24,Уход за руками и ногами
25,От пота
26,Еда
27,От простуды и обезболивание
28,SPF
29,Проблемная кожа
30,Увлажнение
31,Пилинг
32,Умывание
33,Целлюлит
34,Похудение
35,Мужское здоровье 
36,От грибка
37,spf
38,Для печени
39,Обезболивание
40,Для мозга
41,EMPTYCATEGORY
42,Уход за воосами
43,Прибиотик
44,Витамины и мультивитамины
45,Отеки
46,spF
47,Пробиотик
48,Для рук и ног
49,Витамины
50,Для тела 
51,От простуды 
52,Одежда 
53,Иммунитет
54,Для волос 
55,Волосы
56,Руки и ноги
57,Суставы
58,Умывание 
59,spf отбеливание 
60,"Волосы, перхоти"
61,Гигиена рта
62,Простуда
