id,date,visa,amount
1,2018-09-30,yahoo,43000
2,2018-10-31,yahoo,117658
3,2018-11-30,yahoo,415590
4,2018-12-30,yahoo,71326
5,2019-01-31,yahoo,225840
6,2019-02-27,yahoo,328142
7,2019-03-27,yahoo,263468
8,2019-04-30,yahoo,400868
9,2019-05-27,yahoo,243726
10,2019-06-28,yahoo,603636
11,2019-07-31,yahoo,261293
12,2019-08-31,yahoo,168308
13,2018-07-31,costco,40000
14,2018-08-31,costco,73000
15,2018-09-30,costco,717500
16,2018-10-27,costco,268702
17,2018-11-30,costco,142533
18,2018-12-30,costco,573560
19,2019-01-31,costco,201432
20,2019-02-27,costco,100000
21,2019-03-27,costco,44933
22,2019-04-30,costco,531731
23,2019-05-27,costco,118165
24,2019-06-28,costco,404404
25,2019-07-31,costco,144507
26,2019-09-30,costco,130000
27,2018-05-31,rakuten,103966
28,2018-06-30,rakuten,244716
29,2018-07-31,rakuten,545493
30,2018-08-31,rakuten,370000
31,2018-09-30,rakuten,108116
32,2018-10-31,rakuten,660672
33,2018-11-30,rakuten,238000
34,2018-12-30,rakuten,646765
35,2019-01-31,rakuten,561762
36,2019-02-27,rakuten,595009
37,2019-03-27,rakuten,638332
38,2019-04-30,rakuten,593264
39,2019-05-27,rakuten,554163
40,2019-06-28,rakuten,156799
41,2019-07-31,rakuten,497926
42,2019-08-31,rakuten,647148
43,2019-09-30,rakuten,700000
44,2019-10-31,rakuten,1143553
48,2018-08-31,yahoo,100000
93,2019-10-31,costco,220000
94,2019-10-31,yahoo,3945
95,2019-11-30,costco,722550
96,2019-11-30,yahoo,289580
97,2019-11-30,rakuten,116819
98,2019-12-31,yahoo,704321
99,2019-12-31,costco,204463
100,2019-12-31,rakuten,164188
101,2019-12-31,edion,140834
102,2020-01-31,edion,744485
103,2020-01-31,yahoo,293936
104,2020-01-31,costco,237971
105,2020-01-31,rakuten,18000
106,2020-02-29,costco,500000
107,2020-02-29,yahoo,575000
108,2020-02-29,rakuten,283504
109,2020-03-31,costco,252296
110,2020-03-31,yahoo,463511
111,2020-03-31,rakuten,889387
112,2020-04-30,costco,23910
113,2020-04-30,rakuten,242920
114,2020-07-31,rakuten,194064
115,2020-07-31,costco,90381
116,2020-06-30,rakuten,221465
117,2020-06-30,costco,27712
118,2020-05-31,rakuten,48668
119,2020-05-31,costco,75956
120,2020-08-31,rakuten,614327
121,2020-09-30,rakuten,751302
122,2020-09-30,costco,251013
123,2020-10-31,rakuten,1150469
124,2020-10-31,costco,365871
125,2020-10-31,yahoo,291990
126,2020-11-30,rakuten,707775
127,2020-11-30,costco,336782
128,2020-11-30,yahoo,710789
129,2020-11-30,amazon,525676
130,2020-12-31,yahoo,85658
131,2020-12-31,amazon,270071
132,2020-12-31,rakuten,134972
133,2020-12-31,costco,967209
134,2021-01-31,amazon,524210
135,2021-01-31,costco,279724
136,2021-01-31,rakuten,80885
137,2021-01-31,yahoo,119267
138,2021-02-28,yahoo,117916
139,2021-02-28,rakuten,265174
140,2021-02-28,amazon,242766
141,2021-02-28,costco,858232
142,2021-03-31,rakuten,287018
143,2021-03-31,costco,553561
144,2021-03-31,amazon,550744
145,2021-03-31,yahoo,448276
146,2021-04-30,costco,435246
147,2021-04-30,rakuten,555201
148,2021-04-30,amazon,243958
149,2021-04-30,yahoo,584565
150,2021-05-31,yahoo,17553
151,2021-05-31,amazon,572609
152,2021-05-31,costco,997794
153,2021-05-31,rakuten,411867
154,2021-06-30,amazon,471411
155,2021-06-30,costco,417170
156,2021-06-30,rakuten,776189
157,2021-06-30,yahoo,10000
158,2021-07-31,amazon,560533
159,2021-08-31,amazon,607217
160,2021-08-31,costco,1181
161,2021-08-31,rakuten,288107
162,2021-07-31,costco,161599
163,2021-07-31,rakuten,461731
164,2021-09-30,costco,19517
165,2021-09-30,rakuten,440485
166,2021-09-30,amazon,558313
167,2021-10-31,costco,498830
168,2021-10-31,rakuten,947133
169,2021-10-31,amazon,559206
170,2021-10-31,yahoo,65739
171,2021-11-30,rakuten,364788
172,2021-11-30,costco,158055
173,2021-11-30,yahoo,871744
174,2021-11-30,amazon,551344
175,2021-12-31,amazon,671928
176,2021-12-31,costco,1096145
177,2021-12-31,rakuten,368358
178,2021-12-31,yahoo,144337
179,2022-01-31,costco,314238
180,2022-01-31,rakuten,85833
181,2022-01-31,amazon,372578
182,2022-01-31,yahoo,671167
